tags,tvg-id,name,url,logo
"moldova,news",1,Aquarelle FM,http://aquarelle.md:8000/aquarellefm.mp3,
"moldova,news",2,Diaspora FM 92.8,http://87.255.90.102:9000/UniversFm,
"moldova,news",3,Eco FM,http://astreaming.ecofm.md:8080/stream.aac,
